rating,review_length_text,review_length_title,polarity_text,polarity_title,subjectivity_text,subjectivity_title,lemmatized_text,lemmatized_title,day_of_week,month,year,vader_sentiment,vader_label,bert_label,bert_score
1,408,2,0.0184482758620689,-1.0,0.5122413793103449,1.0,"['often', 'last', 'first', 'purchase', 'luggage', 'check', 'luggage', 'booking', 'okay', 'confirmation', 'confirmation', 'payment', 'luggage', 'fix', 'booking', 'additional', 'check', 'check', 'weigh', 'carryon', 'bag', 'carryon', 'luggage', 'either', 'check', 'bag', 'carryon', 'luggage', 'bag', 'throw', 'away', 'clothe', 'end', 'throw', 'away', 'clothe', 'extra', 'luggage', 'type', 'weigh', 'carryon', 'bag', 'personal', 'item', 'personal', 'item', 'cost', 'check', 'front', 'staff', 'always', 'except', 'staff', 'attendant', 'staff', 'always', 'top', 'everyone', 's', 'past', 'employee', 'force', 'people', 'advice', 'often', 'always', 'people']","['bad', 'airline']",Wednesday,11,2024,0.4019,positive,NEGATIVE,0.9412906169891357
1,157,4,-0.0608974358974358,-1.0,0.592948717948718,1.0,"['regard', 'booking', 'accommodation', 'regard', 'delayed', 'end', 'meal', 'drink', 'meal', 'other', 'meal', 'staff', 'daughter', 'wear', 'negative', 'sense', 'unfortunately', 'board', 'life']","['terrible', 'experience', 'airfrance']",Wednesday,11,2024,-0.7906,negative,NEGATIVE,0.996503472328186
1,259,11,-0.0941628264208909,-0.6,0.4882872503840245,0.7,"['sky', 'sky', 'staff', 'amount', 'without', 'clear', 'explanation', 'especially', 'frustrating', 'addition', 'delayed', 'last', 'lack', 'communication', 'handle', 'arrangement', 'treatment', 'treatment', 'simply', 'meal', 'meal', 'near', 'meal', 'meal', 'prepare', 'attention', 'care', 'other', 'board', 'hope', 'seriously', 'treatment', 'future']","['extremely', 'disappointing', 'experience', 'air', 'france', 'flight', 'hkg', 'cdg']",Tuesday,11,2024,-0.5332,negative,NEGATIVE,0.9978099465370178
1,274,1,-0.1093727453102453,-1.0,0.4940115440115439,1.0,"['I', 've', 'always', 'shock', 'first', 'check', 'print', 'boarding', 'computer', 'computer', 'attendant', 'busy', 're', 'people', 'tight', 'ever', 'food', 'bathroom', 'attendant', 'door', 's', 'turbulence', 'throw', 'multiple', 'multiple', 'attendant', 'anything', 'second', 'tea', 'second', 'attendant', 'tea', 'empty', 'cup', 'tea', 'bag', 'hot', 'water', 'job', 'literally', 'food', 'french', 'bother', 'english', 'asian']",['horrible'],Monday,11,2024,-0.7003,negative,NEGATIVE,0.985183835029602
1,311,7,-0.1264764996907854,-1.0,0.485191713048856,1.0,"['family', 'ruin', 'arrive', 'check', 'counter', 'boarding', 'due', 'assure', 'extra', 'lack', 'movie', 'accept', 'board', 'discover', 'original', 'sell', 'booking', 'ago', 'far', 'staff', 'movie', 'usb', 'position', 'middle', 'frequently', 'step', 'foot', 'restroom', 'matter', 'sick', 'sit', 'end', 'sick', 'attendant', 'sky', 'select', 'long', 'concern', 'compensation', 'away', 'speak', 'attendant', 'later', 'bump', 'drink', 'multiple', 'step', 'foot', 'without', 'food', 'anyone', 'finish', 'half', 'literally', 'I', 've', 'ever', 'lack', 'arrangement', 'treatment', 'staff']","['bad', 'flight', 'experience', 'I', 've', 'ever']",Monday,11,2024,-0.8225,negative,NEGATIVE,0.9990530610084534
3,82,4,-0.1292929292929292,0.4,0.5468013468013468,0.7,"['food', 'cost', 'cheap', 'water', 'far']","['really', 'cheap', 'flight', 'experience']",Sunday,11,2024,0.0,neutral,NEGATIVE,0.9979298114776611
2,65,9,0.0436507936507936,0.0,0.2998015873015873,0.0,"['carryon', 'item', 'weight', 'less', 'weigh', 'prior', 'check', 'size', 'carryon', 'bag', 'check', 'carryon', 'large', 'mistake', 'carryon', 'large']","['mindful', 'carryon', 'baggage', 'weight', 'size']",Sunday,11,2024,-0.34,negative,NEGATIVE,0.9990026354789734
1,235,11,-0.0074548001018589,-1.0,0.2898332060096766,1.0,"['booking', 'site', 'booking', 'leg', 'operate', 'single', 'booking', 'cost', 'twice', 'piece', 'check', 'baggage', 'first', 'leg', 'leg', 'booking', 'zero', 'baggage', 'twice', 'baggage', 'multiple', 'compensation', 'unhelpful', 'insist', 'first', 'leg', 'booking', 'carrier', 'responsibility', 'resolve', 'partner', 'onto', 'file', 'department', 'date', 'I', 've', 'either', 'value', 'clear', 'policy', 'lack', 'booking']","['terrible', 'customer', 'service', 'duplicate', 'baggage', 'charge', 'avoid', 'air', 'france']",Friday,11,2024,0.6486,positive,NEGATIVE,0.9951987862586975
2,71,1,-0.07,0.0,0.4599999999999999,0.0,"['carrier', 'ahead', 'booking', 'long', 'story', 'booking', 'anyway']",['nightmare'],Thursday,11,2024,0.0,neutral,NEGATIVE,0.9760940670967102
1,38,9,0.075,-0.1666666666666666,0.375,0.1666666666666666,"['food', 'collect', 'attendant']","['air', 'france', 'remember', 'previous', 'year']",Thursday,11,2024,0.0,neutral,POSITIVE,0.771746039390564
